feature,coefficient,abs_coefficient
proto_vines,0.14401480360866037,0.14401480360866037
proto_scps,0.1439663498102874,0.1439663498102874
proto_sdrp,0.14297931781110254,0.14297931781110254
proto_ipx-n-ip,0.14273964810676895,0.14273964810676895
proto_micp,0.14263836507672994,0.14263836507672994
proto_ttp,0.1415362960443458,0.1415362960443458
proto_wb-expak,0.14081708472672377,0.14081708472672377
tcprtt,-0.14071345082489198,0.14071345082489198
proto_narp,0.14055379741077115,0.14055379741077115
proto_secure-vmtp,0.13946307067553354,0.13946307067553354
proto_idrp,0.1394526417444491,0.1394526417444491
proto_iplt,0.1389160957023642,0.1389160957023642
proto_ipv6-opts,0.13882245642931818,0.13882245642931818
proto_ax.25,0.1380311232397679,0.1380311232397679
proto_aris,0.1370181569763674,0.1370181569763674
proto_iso-ip,0.13644355745987918,0.13644355745987918
proto_idpr,0.1360193436840961,0.1360193436840961
proto_xtp,0.13588776402373048,0.13588776402373048
proto_sps,0.13493919786420477,0.13493919786420477
proto_ipcomp,0.13412342608255517,0.13412342608255517
proto_snp,0.1339810075651968,0.1339810075651968
proto_tlsp,0.13380591874028297,0.13380591874028297
proto_ipip,0.12966457562368763,0.12966457562368763
proto_ipv6-no,0.12907656088438177,0.12907656088438177
proto_wb-mon,0.12867278550649586,0.12867278550649586
proto_vmtp,0.12772905073856675,0.12772905073856675
proto_pgm,0.12650685207920628,0.12650685207920628
proto_uti,0.12613272203712653,0.12613272203712653
proto_etherip,0.12471257491264713,0.12471257491264713
proto_sat-expak,0.12331921032421807,0.12331921032421807
proto_ptp,0.12279160873830676,0.12279160873830676
proto_isis,0.12160502983566392,0.12160502983566392
proto_fire,0.12147013853782088,0.12147013853782088
proto_cftp,0.12061773074267748,0.12061773074267748
proto_stp,0.11955915077475943,0.11955915077475943
proto_ddp,0.1177670710144994,0.1177670710144994
proto_qnx,0.11756200510506647,0.11756200510506647
proto_srp,0.11610103245945781,0.11610103245945781
proto_sm,0.11463319131416358,0.11463319131416358
smean,-0.11377282358437199,0.11377282358437199
proto_gmtp,0.11372330431381317,0.11372330431381317
ct_srv_src,-0.11258129609818703,0.11258129609818703
proto_a/n,0.11247535596114254,0.11247535596114254
proto_ib,0.11244907207691936,0.11244907207691936
proto_ddx,0.11196924304708511,0.11196924304708511
proto_mhrp,0.11165536655015133,0.11165536655015133
proto_pnni,0.11152101511063636,0.11152101511063636
proto_smp,0.10912544306898099,0.10912544306898099
dinpkt,-0.10776065883294231,0.10776065883294231
proto_ifmp,0.10696865130897996,0.10696865130897996
ackdat,0.10541908251284415,0.10541908251284415
proto_iatp,0.10501243384976461,0.10501243384976461
proto_encap,0.10020125685593449,0.10020125685593449
proto_l2tp,0.09773797105216869,0.09773797105216869
proto_pri-enc,0.09739052590236374,0.09739052590236374
rate,-0.09733762909948014,0.09733762909948014
proto_zero,0.08308353054354678,0.08308353054354678
proto_st2,0.07736843818657174,0.07736843818657174
proto_ip,0.07014184081389774,0.07014184081389774
proto_ggp,0.06953578185131752,0.06953578185131752
proto_emcon,0.06621866291273748,0.06621866291273748
proto_ipnip,0.06566509657736712,0.06566509657736712
sload,0.06455725394952831,0.06455725394952831
proto_nvp,0.06108824809510736,0.06108824809510736
proto_igp,0.05889441844047397,0.05889441844047397
proto_pup,0.05834693181299963,0.05834693181299963
proto_bbn-rcc,0.05833224956810218,0.05833224956810218
proto_argus,0.057948476738131104,0.057948476738131104
proto_egp,0.057736977162735584,0.057736977162735584
proto_cbt,0.057354026726162965,0.057354026726162965
ct_dst_sport_ltm,-0.05570690387891262,0.05570690387891262
dur,0.042499143611547274,0.042499143611547274
state_PAR,-0.041352688068524185,0.041352688068524185
ct_src_ltm,-0.028203561110858692,0.028203561110858692
sjit,-0.014364591489909014,0.014364591489909014
stcpb,-0.01378553771468543,0.01378553771468543
dtcpb,0.009188476672316013,0.009188476672316013
ct_flw_http_mthd,-0.0030530376542179274,0.0030530376542179274
response_body_len,0.0004724414314533834,0.0004724414314533834
